['所属小区:碧桂园城市花园', '房屋户型:3室2厅1卫', '房屋单价:15944元/m²', '所在位置:增城－朱村－朱村街', '建筑面积:94.1平方米', '参考首付:45.00万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:大龙街石岗东村振兴南路2号小区', '房屋户型:2室2厅1卫', '房屋单价:4909元/m²', '所在位置:番禺－石碁－大龙街石岗东村振兴南路2号', '建筑面积:55平方米', '参考首付:8.10万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:豪利花园', '房屋户型:3室2厅2卫', '房屋单价:17010元/m²', '所在位置:花都－镜湖大道－镜湖大道18号', '建筑面积:99.9平方米', '参考首付:51.00万', '建造年代:2015年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:低层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:广州空港文旅小镇', '房屋户型:3室2厅2卫', '房屋单价:8736元/m²', '所在位置:白云－人和－凤和村', '建筑面积:87平方米', '参考首付:22.80万', '建造年代:2010年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:昌岗小区', '房屋户型:2室2厅1卫', '房屋单价:36280元/m²', '所在位置:海珠－昌岗－昌岗小区|昌岗中路146-152号', '建筑面积:39.1平方米', '参考首付:42.60万', '建造年代:1996年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:共4层', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南国花园', '房屋户型:4室2厅2卫', '房屋单价:71429元/m²', '所在位置:天河－珠江新城东－平月路161号', '建筑面积:154平方米', '参考首付:330.00万', '建造年代:2012年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:低层(共27层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:保利红馆', '房屋户型:3室2厅2卫', '房屋单价:34313元/m²', '所在位置:番禺－华南－汉兴东路63号', '建筑面积:87.4平方米', '参考首付:90.00万', '建造年代:2013年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共30层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:云溪四季', '房屋户型:3室2厅2卫', '房屋单价:13357元/m²', '所在位置:增城－朱村－朱石路', '建筑面积:86.1平方米', '参考首付:34.50万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:智汇国际', '房屋户型:1室2厅1卫', '房屋单价:12000元/m²', '所在位置:从化－太平镇－太源路8号', '建筑面积:40平方米', '参考首付:14.40万', '建造年代:2017年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:高层(共16层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:兰亭盛荟', '房屋户型:3室2厅2卫', '房屋单价:40400元/m²', '所在位置:天河－东圃－东圃明镜路', '建筑面积:102平方米', '参考首付:123.60万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共44层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:琶洲新村', '房屋户型:3室2厅2卫', '房屋单价:51429元/m²', '所在位置:海珠－琶洲－太和里左十一巷', '建筑面积:35平方米', '参考首付:54.00万', '建造年代:2014年', '房屋朝向:西', '房屋类型:公寓', '所在楼层:低层(共18层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:钻石花苑', '房屋户型:3室2厅1卫', '房屋单价:10000元/m²', '所在位置:花都－新区－龙珠路13号', '建筑面积:149平方米', '参考首付:44.70万', '建造年代:2004年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共8层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:迎星中路小区', '房屋户型:3室2厅2卫', '房屋单价:7778元/m²', '所在位置:番禺－市桥－迎星中路', '建筑面积:90平方米', '参考首付:21.00万', '建造年代:2015年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共16层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:合生湖山国际', '房屋户型:3室2厅1卫', '房屋单价:19014元/m²', '所在位置:增城－新塘－陈家林路', '建筑面积:88.6平方米', '参考首付:50.55万', '建造年代:2015年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:天河星作', '房屋户型:3室2厅1卫', '房屋单价:40014元/m²', '所在位置:天河－车陂－合景路99号', '建筑面积:88.5平方米', '参考首付:106.20万', '建造年代:2018年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:中海康城花园', '房屋户型:2室2厅1卫', '房屋单价:36585元/m²', '所在位置:天河－东圃－广州环城高速路', '建筑面积:82平方米', '参考首付:90.00万', '建造年代:2005年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:低层(共17层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:泰昌大厦', '房屋户型:3室2厅2卫', '房屋单价:17010元/m²', '所在位置:番禺－沙湾－青云大道91号', '建筑面积:97平方米', '参考首付:49.50万', '建造年代:1999年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共7层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:逸合中心', '房屋户型:4室2厅3卫', '房屋单价:34182元/m²', '所在位置:荔湾－芳村－浣花路109号', '建筑面积:55平方米', '参考首付:56.40万', '建造年代:2018年', '房屋朝向:东南', '房屋类型:公寓', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:不满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:富基广场', '房屋户型:2室1厅1卫', '房屋单价:51186元/m²', '所在位置:海珠－江南大道中－小港路163号', '建筑面积:96.1平方米', '参考首付:147.60万', '建造年代:2014年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:高层(共44层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:碧桂园朝花', '房屋户型:3室2厅2卫', '房屋单价:28750元/m²', '所在位置:荔湾－芳村－花地大道中475号', '建筑面积:72平方米', '参考首付:62.10万', '建造年代:2017年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共25层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:嘉大广场', '房屋户型:1室3厅2卫', '房屋单价:9875元/m²', '所在位置:白云－嘉禾望岗－空港大道', '建筑面积:32平方米', '参考首付:9.48万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共22层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:嘉大广场', '房屋户型:2室1厅1卫', '房屋单价:9600元/m²', '所在位置:白云－嘉禾望岗－空港大道', '建筑面积:50平方米', '参考首付:14.40万', '建造年代:2012年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共12层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:富和花苑', '房屋户型:3室2厅2卫', '房屋单价:28125元/m²', '所在位置:白云－人和－人和大马路', '建筑面积:80平方米', '参考首付:67.50万', '建造年代:2010年', '房屋朝向:北', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:汇港威华国际', '房屋户型:4室2厅2卫', '房屋单价:16341元/m²', '所在位置:增城－朱村－朱村大道东路', '建筑面积:83.8平方米', '参考首付:41.10万', '建造年代:2013年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:石牌村商住楼', '房屋户型:1室1厅1卫', '房屋单价:31957元/m²', '所在位置:天河－珠江新城东－海业路3号', '建筑面积:46平方米', '参考首付:44.10万', '建造年代:2017年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:富力万科云启(商住楼)', '房屋户型:1室1厅1卫', '房屋单价:33333元/m²', '所在位置:天河－车陂－车陂北街', '建筑面积:30平方米', '参考首付:30.00万', '建造年代:2019年', '房屋朝向:东南', '房屋类型:公寓', '所在楼层:中层(共20层)', '装修程度:豪华装修', '产权年限:40年', '配套电梯:有', '房本年限:不满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:碧桂园豪进左岸', '房屋户型:1室1厅0卫', '房屋单价:11854元/m²', '所在位置:增城－荔城－东西主干道', '建筑面积:88.6平方米', '参考首付:31.50万', '建造年代:2016年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:高层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:石牌村商住楼', '房屋户型:2室2厅2卫', '房屋单价:30889元/m²', '所在位置:天河－珠江新城东－海业路3号', '建筑面积:45平方米', '参考首付:41.70万', '建造年代:2014年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共27层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:碧桂园朝花', '房屋户型:3室2厅2卫', '房屋单价:28378元/m²', '所在位置:荔湾－芳村－花地大道中475号', '建筑面积:37平方米', '参考首付:31.50万', '建造年代:2018年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:低层(共21层)', '装修程度:精装修', '产权年限:40年', '配套电梯:无', '房本年限:不满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:奥园国际中心', '房屋户型:2室1厅1卫', '房屋单价:17895元/m²', '所在位置:番禺－南村镇－兴南大道268号', '建筑面积:38平方米', '参考首付:20.40万', '建造年代:2016年', '房屋朝向:南北', '房屋类型:公寓', '所在楼层:中层(共23层)', '装修程度:精装修', '产权年限:50年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:新市南街27号小区', '房屋户型:3室2厅1卫', '房屋单价:6462元/m²', '所在位置:白云－新市－新市南街27号', '建筑面积:65平方米', '参考首付:12.60万', '建造年代:2010年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共12层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:龙归城', '房屋户型:3室2厅2卫', '房屋单价:9663元/m²', '所在位置:白云－龙归－广从公路', '建筑面积:62.1平方米', '参考首付:18.00万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共21层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:龙归城', '房屋户型:3室2厅2卫', '房屋单价:7376元/m²', '所在位置:白云－龙归－广从公路', '建筑面积:61平方米', '参考首付:13.50万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共36层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:史丹尼公寓', '房屋户型:1室1厅1卫', '房屋单价:36842元/m²', '所在位置:天河－珠江新城西－华强路3号', '建筑面积:38平方米', '参考首付:42.00万', '建造年代:2013年', '房屋朝向:东南', '房屋类型:公寓', '所在楼层:低层(共18层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:实地常春藤', '房屋户型:3室2厅1卫', '房屋单价:24457元/m²', '所在位置:萝岗－萝岗－禾丰路', '建筑面积:92平方米', '参考首付:67.50万', '建造年代:2018年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:庄士映蝶蓝湾', '房屋户型:3室2厅2卫', '房屋单价:19565元/m²', '所在位置:番禺－石楼－莲港大道', '建筑面积:106.3平方米', '参考首付:62.40万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共18层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:实地常春藤', '房屋户型:3室2厅1卫', '房屋单价:24375元/m²', '所在位置:萝岗－萝岗－禾丰路', '建筑面积:96平方米', '参考首付:70.20万', '建造年代:2018年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:碧桂园三水华府', '房屋户型:3室2厅1卫', '房屋单价:8921元/m²', '所在位置:广州周边－佛山－广海大道西27号', '建筑面积:87.4平方米', '参考首付:23.40万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:花苑街小区', '房屋户型:3室2厅1卫', '房屋单价:8387元/m²', '所在位置:荔湾－芳村－花蕾路150-200号', '建筑面积:71.3平方米', '参考首付:17.94万', '建造年代:2010年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共12层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:凤翔苑(碧桂园凤凰城)', '房屋户型:9室2厅8卫', '房屋单价:72761元/m²', '所在位置:增城－新塘－凤凰城大道', '建筑面积:547平方米', '参考首付:1194.00万', '建造年代:2009年', '房屋朝向:南', '房屋类型:别墅', '所在楼层:共3层', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:碧桂园朝花', '房屋户型:3室2厅2卫', '房屋单价:28571元/m²', '所在位置:荔湾－芳村－花地大道中475号', '建筑面积:35平方米', '参考首付:30.00万', '建造年代:2018年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:不满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:裕豪公寓', '房屋户型:2室1厅2卫', '房屋单价:11235元/m²', '所在位置:南沙－万顷沙－岭南路', '建筑面积:28.9平方米', '参考首付:9.74万', '建造年代:2015年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:高层(共22层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:史丹尼公寓', '房屋户型:1室1厅2卫', '房屋单价:34595元/m²', '所在位置:天河－珠江新城西－华强路3号', '建筑面积:37平方米', '参考首付:38.40万', '建造年代:2012年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:低层(共18层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:逸合中心', '房屋户型:3室2厅2卫', '房屋单价:38125元/m²', '所在位置:荔湾－芳村－浣花路109号', '建筑面积:48平方米', '参考首付:54.90万', '建造年代:2017年', '房屋朝向:西南', '房屋类型:公寓', '所在楼层:高层(共25层)', '装修程度:豪华装修', '产权年限:50年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:白云万达广场公寓', '房屋户型:3室2厅2卫', '房屋单价:22433元/m²', '所在位置:白云－云城西路－云城东路588号', '建筑面积:52.6平方米', '参考首付:35.40万', '建造年代:2014年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共22层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:小北路小区', '房屋户型:2室2厅1卫', '房屋单价:54444元/m²', '所在位置:越秀－小北－小北路', '建筑面积:54平方米', '参考首付:88.20万', '建造年代:2000年', '房屋朝向:东', '房屋类型:普通住宅', '所在楼层:低层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:天誉花园', '房屋户型:3室2厅2卫', '房屋单价:52641元/m²', '所在位置:天河－天河北－林和中路', '建筑面积:112.1平方米', '参考首付:177.00万', '建造年代:2002年', '房屋朝向:北', '房屋类型:普通住宅', '所在楼层:中层(共31层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:群星花园', '房屋户型:4室2厅2卫', '房屋单价:11932元/m²', '所在位置:增城－新塘－新塘大道中130号', '建筑面积:88平方米', '参考首付:31.50万', '建造年代:2005年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:实地常春藤', '房屋户型:4室2厅2卫', '房屋单价:24480元/m²', '所在位置:萝岗－萝岗－禾丰路', '建筑面积:125平方米', '参考首付:91.80万', '建造年代:2018年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:保利东郡', '房屋户型:2室2厅1卫', '房屋单价:49296元/m²', '所在位置:荔湾－芳村－开拓路', '建筑面积:71平方米', '参考首付:105.00万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共33层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:黄埔雅苑', '房屋户型:3室2厅1卫', '房屋单价:29022元/m²', '所在位置:黄埔－黄埔区府－大沙地黄埔东路', '建筑面积:72.4平方米', '参考首付:63.00万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共17层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:保利中环广场(商住楼)', '房屋户型:1室2厅1卫', '房屋单价:25745元/m²', '所在位置:越秀－建设－建设中马路2-4号', '建筑面积:47平方米', '参考首付:36.30万', '建造年代:2013年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:高层(共16层)', '装修程度:精装修', '产权年限:50年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:实地常春藤', '房屋户型:3室2厅2卫', '房屋单价:24432元/m²', '所在位置:萝岗－萝岗－禾丰路', '建筑面积:88平方米', '参考首付:64.50万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共35层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:宏瑞商务公寓', '房屋户型:1室1厅1卫', '房屋单价:9588元/m²', '所在位置:白云－同和－梅宾北路76号', '建筑面积:32平方米', '参考首付:9.20万', '建造年代:2010年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共10层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南站星汇', '房屋户型:2室2厅1卫', '房屋单价:10769元/m²', '所在位置:番禺－大石－石北工业近官坑工业二路', '建筑面积:52平方米', '参考首付:16.80万', '建造年代:2018年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共11层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:不满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:保利罗兰国际', '房屋户型:2室2厅1卫', '房屋单价:36986元/m²', '所在位置:萝岗－萝岗－开达路', '建筑面积:73平方米', '参考首付:81.00万', '建造年代:2015年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:誉瀛新天地', '房屋户型:3室2厅1卫', '房屋单价:26213元/m²', '所在位置:番禺－市桥－市广路238号', '建筑面积:47平方米', '参考首付:36.96万', '建造年代:2019年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共25层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:不满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
